date,Close,High,Low,Open,Volume
,^SET.BK,^SET.BK,^SET.BK,^SET.BK,^SET.BK
2023-01-03,1678.969970703125,1683.3800048828125,1673.2900390625,1675.699951171875,4618100
2023-01-04,1673.25,1685.1099853515625,1668.0699462890625,1680.0699462890625,5777500
2023-01-05,1663.8599853515625,1676.8199462890625,1659.9000244140625,1674.81005859375,6321200
2023-01-06,1673.8599853515625,1677.7900390625,1665.489990234375,1667.1400146484375,4912600
2023-01-09,1691.1199951171875,1693.4200439453125,1684.9000244140625,1685.300048828125,4677700
2023-01-10,1691.4100341796875,1695.530029296875,1684.9000244140625,1694.1700439453125,5305200
2023-01-11,1685.75,1695.1300048828125,1681.8800048828125,1693.219970703125,4781800
2023-01-12,1687.449951171875,1690.3199462890625,1679.989990234375,1688.3399658203125,4943300
2023-01-13,1681.72998046875,1695.989990234375,1673.9200439453125,1691.52001953125,5770600
2023-01-16,1684.8599853515625,1691.3499755859375,1679.989990234375,1686.3499755859375,4457100
2023-01-17,1681.0400390625,1688.56005859375,1679.199951171875,1686.0899658203125,4216500
2023-01-18,1685.43994140625,1689.4100341796875,1679.1500244140625,1682.0400390625,4130300
2023-01-19,1688.47998046875,1690.68994140625,1681.719970703125,1682.1300048828125,4050400
2023-01-20,1677.25,1688.5899658203125,1672.489990234375,1687.4200439453125,5394100
2023-01-23,1684.0400390625,1689.52001953125,1677.52001953125,1681.3299560546875,4418700
2023-01-24,1682.93994140625,1693.969970703125,1682.5799560546875,1689.9000244140625,4043600
2023-01-25,1682.1099853515625,1687.510009765625,1678.7099609375,1686.1300048828125,4597000
2023-01-26,1671.3399658203125,1684.8399658203125,1667.4300537109375,1682.800048828125,5208700
2023-01-27,1681.300048828125,1683.77001953125,1670.9100341796875,1674.4100341796875,4194700
2023-01-30,1681.219970703125,1685.239990234375,1676.510009765625,1683.56005859375,5482700
2023-01-31,1671.4599609375,1683.9000244140625,1671.0,1681.6600341796875,6744600
2023-02-01,1685.75,1687.97998046875,1675.72998046875,1676.6700439453125,5582400
2023-02-02,1682.5799560546875,1692.93994140625,1681.739990234375,1689.1600341796875,5921900
2023-02-03,1688.3599853515625,1690.4000244140625,1679.0,1684.3299560546875,5595300
2023-02-06,1682.1099853515625,1687.780029296875,1680.219970703125,1686.010009765625,6575300
